RepositoryGitHubName,RepositoryShortName,App,Source,Commits,AppFolder,JavaFiles,xmlFiles,Cfiles,Hfiles,PYFiles,JSFiles,LinesOfCodesJava,Contributors,FilteredPerformance,StartTimestamp,EndTimestamp,Install,Category,Release
EEdge/FoodCraft,FoodCraft,sfsu.csc413.foodcraft,G,192,FoodCraft/app/src/main/,38,47,0,0,0,0,5021,6,0,1443828884,1454542235, 50-100 ,Lifestyle,0
Freddy95/Primary-Notifications,Primary-Notifications,com.red.f.primarynotifications&amp,G,53,app/src/main/,10,33,0,0,0,0,2715,1,1,1442116237,1454860663, 5-10 ,Tools,0
dingdingyr/ImmortalPlayer-,ImmortalPlayer-,com.immortalplayer,G,52,app/src/main/,7,13,0,0,0,0,3551,1,0,1412018742,1442489197, 500-1000 ,Media & Video,10
3ffusi0on/SimpleMjpegView,SimpleMjpegView,com.tk.android.simplemjpeg,G,26,app/src/main/,3,6,73,13,0,0,689,2,0,1350445114,1453826477, 5000-10000 ,Media & Video,0
Mnkai/PGPClipper,PGPClipper,moe.minori.pgpclipper,G,73,app/src/main/,12,22,0,0,0,0,1805,2,0,1443279489,1452060577, 100-500 ,Tools,7
PedroCarrillo/Expense-Tracker-App,Expense-Tracker-App,com.pedrocarrillo.expensetracker,G,61,ExpenseTracker/app/src/main/,58,58,0,0,0,0,5293,2,0,1442330482,1445562267, 5000-10000 ,Business,1
jackbbb95/Countr,Countr,com.jackbbb95.globe.countr,G,23,app/src/main/,13,31,0,0,0,0,1649,1,0,1447247645,1451850014, 50-100 ,Tools,0
kovloq/cuaca_android,cuaca_android,dana.cuaca,G,13,app/src/main/,9,15,0,0,0,0,655,1,0,1452058685,1454847970, 100-500 ,Weather,0
marazmone/PasswordsGenerator,PasswordsGenerator,com.marazmone.passwordsgenerator,G,11,app/src/main/,13,28,0,0,0,0,1312,1,0,1446719566,1455751646, 1000-5000 ,Tools,0
superapps/The-memo-awakens,The-memo-awakens,com.giocode.thememoawakens,G,32,app/src/main/,21,21,0,0,0,0,2268,1,0,1451313661,1453973595, 10-50 ,Productivity,0
Ekvi/MVPlayer,MVPlayer,com.ekvilan.mvplayer,G,48,src/main/,14,22,0,0,0,0,1921,1,0,1439364641,1443611130, 100-500 ,Media & Video,0
jeancaffou/paragliding-site,paragliding-site,com.xcglobe.xcglobesites,G,15,app/src/main/,5,13,0,0,0,0,848,2,0,1446720202,1451845819, 500-1000 ,Travel & Local,0
lucys1/Hapened,Hapened,me.hapened.hapened,G,79,app/src/main/,9,21,0,0,0,0,1103,2,0,1444246650,1453662360, 5-10 ,Lifestyle,0
tiefenb7/BEA-AndroidJobAnalyzer,BEA-AndroidJobAnalyzer,developer.bluestardiamond,G,10,app/src/main/,42,87,0,0,0,0,6847,2,0,1445740502,1452096380, 10-50 ,Business,0
zom/Zom-Android,Zom-Android,com.sharpregion.tapet,G,3409,app/src/main/,176,209,0,0,0,0,50473,3,0,1269027813,1454985652, 1000000-5000000 ,Customization,163
Betcheg/MLGPhotoMontage,MLGPhotoMontage,betcheg.mlgphotomontage,G,45,app/src/main/,2,13,0,0,0,0,740,2,0,1446038244,1448898398, 100000-500000 ,Entertainment,0
d355/sms-trial,sms-trial,dtd.phs.sil,G,46,PHS_SMS/,45,22,0,0,0,0,3310,1,2,1313717876,1441734233, 100000-500000 ,Communication,0
coshxx/GemLords,GemLords,de.cosh.anothermanager,G,268,another_manager-android/,2,4,0,0,0,0,89,1,1,1386326782,1445422540, 500-1000 ,Games,7
